props	n	id	perc
P31	11303	instance of	1
P6944	11289	Bionomia ID	0.9987613907812085
P21	11155	sex or gender	0.986906131115633
P106	11089	occupation	0.9810669733699018
P569	10788	date of birth	0.9544368751658852
P570	10603	date of death	0.9380695390604264
P735	10405	given name	0.9205520658232328
P27	9020	country of citizenship	0.7980182252499336
P734	7607	family name	0.6730071662390515
P214	7099	VIAF ID	0.6280633460143324
P19	7023	place of birth	0.6213394673980359
P7859	6506	WorldCat Identities ID (superseded)	0.575599398389808
P6264	6151	Harvard Index of Botanists ID	0.5441918074847386
P213	5870	ISNI	0.5193311510218526
P20	5752	place of death	0.5088914447491817
P428	4912	botanist author abbreviation	0.4345748916216934
P586	4912	IPNI author ID	0.4345748916216934
P244	4759	Library of Congress authority ID	0.42103866230204373
P227	4669	GND ID	0.41307617446695566
P269	4347	IdRef ID	0.38458816243475186
P1006	4195	Nationale Thesaurus voor Auteursnamen ID	0.37114040520215874
P1412	4182	languages spoken, written or signed	0.3699902680704238
P69	3938	educated at	0.3484030788286296
P4081	3933	BHL creator ID	0.3479607183933469
P108	3700	employer	0.32734672210917454
P646	3559	Freebase ID	0.3148721578342033
P1207	3223	NUKAT ID	0.285145536583208
P18	2976	image	0.2632929310802442
P101	2612	field of work	0.23108909139166592
P373	2550	Commons category	0.22560382199416085
P648	2463	Open Library ID	0.2179067504202424
P2671	2450	Google Knowledge Graph ID	0.21675661328850748
P463	2348	member of	0.20773246040874105
P3368	2306	Prabook ID	0.20401663275236662
P2163	2136	FAST ID	0.1889763779527559
P8189	2102	National Library of Israel J9U ID	0.18596832699283375
P7902	2074	Deutsche Biographie (GND) ID	0.18349110855525083
P268	2030	Bibliothèque nationale de France ID	0.17959833672476333
P1343	2027	described by source	0.17933292046359373
P166	1884	award received	0.16668141201450942
P691	1818	NL CR AUT ID	0.1608422542687782
P5370	1755	Entomologists of the World ID	0.15526851278421658
P3065	1668	RERO ID (obsolete)	0.14757144121029814
P1015	1576	NORAF ID	0.13943200920109705
P8914	1536	ZOBODAT person ID	0.13589312571883572
P2600	1477	Geni.com profile ID	0.13067327258250022
P3430	1454	SNAC ARK ID	0.12863841458019995
P1559	1453	name in native language	0.12854994249314342
P26	1312	spouse	0.11607537821817217
P551	1290	residence	0.11412899230292843
P10168	1271	Zürich Herbaria collector ID	0.11244802264885428
P1315	1242	NLA Trove people ID	0.1098823321242148
P271	1211	CiNii Books author ID	0.10713969742546227
P119	1202	place of burial	0.10634344864195347
P11496	1159	CiNii Research ID	0.10253914889852252
P1871	1153	CERL Thesaurus ID	0.10200831637618331
P3987	1139	SHARE Catalogue author ID	0.10076970715739185
P11146	1120	collection items at	0.0990887375033177
P22	1016	father	0.0898876404494382
P535	1007	Find a Grave memorial ID	0.0890913916659294
P7763	980	copyright status as a creator	0.08670264531540299
P409	973	Libraries Australia ID	0.08608334070600726
P7293	926	PLWABN ID	0.08192515261435017
P6821	887	Uppsala University Alvin ID	0.07847474121914536
P40	864	child	0.07643988321684508
P3373	830	sibling	0.07343183225692294
P3342	819	significant person	0.07245863929930108
P937	815	work location	0.07210475095107494
P835	784	author citation (zoology)	0.06936211625232239
P2889	776	FamilySearch person ID	0.06865433955587012
P906	764	SELIBR ID	0.06759267451119172
P485	754	archives at	0.06670795364062639
P2949	750	WikiTree person ID	0.06635406529240025
P2006	747	ZooBank author ID	0.06608864903123064
P5587	743	Libris-URI	0.06573476068300452
P103	709	native language	0.06272670972308236
P8179	709	Canadiana Name Authority ID	0.06272670972308236
P39	676	position held	0.05980713085021676
P512	651	academic degree	0.05759532867380342
P496	647	ORCID iD	0.05724144032557728
P3762	634	openMLOL author ID	0.05609130319384234
P11249	620	KBR person ID	0.054852693975050874
P8947	577	Museo Galileo authority ID	0.05104839423161992
P3029	554	UK National Archives ID	0.04901353622931965
P2349	545	Stuttgart Database of Scientific Illustrators ID	0.048217287445810844
P950	545	Biblioteca Nacional de España ID	0.048217287445810844
P1280	537	CONOR.SI ID	0.04750951074935858
P4342	520	Store norske leksikon ID	0.0460054852693975
P6886	493	writing language	0.0436167389188711
P8034	481	Vatican Library VcBA ID	0.04255507387419269
P1477	468	birth name	0.04140493674245775
P949	466	National Library of Israel ID (old)	0.04122799256834469
P3544	457	Te Papa agent ID	0.04043174378483588
P3222	452	NE.se ID	0.039989383349553216
P1472	446	Commons Creator page	0.039458550827214015
P3348	445	National Library of Greece ID	0.03937007874015748
P10297	433	Google Arts & Culture entity ID	0.03830841369547908
P3413	429	Leopoldina member ID (superseded)	0.037954525347252945
P6379	416	has works in the collection	0.03680438821551801
P1005	406	Portuguese National Library author ID	0.035919667344952666
P6683	397	Alexander Turnbull Library ID	0.03512341856144387
P4228	390	Encyclopedia of Australian Science ID	0.03450411395204813
P509	380	cause of death	0.03361939308148279
P25	378	mother	0.03344244890736973
P1417	376	Encyclopædia Britannica Online ID	0.03326550473325666
P1415	368	Oxford Dictionary of National Biography ID	0.03255772803680439
P3154	366	Runeberg author ID	0.03238078386269132
P10227	356	National Library of Ireland ID	0.031496062992125984
P1695	354	NLP ID (old)	0.031319118818012914
P8826	344	edition humboldt digital ID	0.03043439794744758
P5008	341	on focus list of Wikimedia project	0.03016898168627798
P2383	340	CTHS person ID	0.030080509599221445
P910	324	topic's main category	0.028664956206316906
P1153	319	Scopus author ID	0.02822259577103424
P184	312	doctoral advisor	0.027603291161638503
P1889	311	different from	0.02751481907458197
P9918	303	Kallías ID	0.0268070423781297
P9984	303	CANTIC ID	0.0268070423781297
P11686	299	University of Barcelona authority ID	0.026453154029903565
P2734	299	Unz Review author ID	0.026453154029903565
P1196	298	manner of death	0.02636468194284703
P935	294	Commons gallery	0.0260107935946209
P185	277	doctoral student	0.024506768114659825
P109	276	signature	0.02441829602760329
P4629	275	Online Books Page author ID	0.02432982394054676
P6194	273	Austrian Biographical Encylopedia ID	0.02415287976643369
P8313	273	Den Store Danske ID	0.02415287976643369
P1938	270	Project Gutenberg author ID	0.02388746350526409
P9160	270	Biographical Dictionary of the Czech Lands ID	0.02388746350526409
P1017	269	Vatican Library ID (former scheme)	0.023798991418207554
P7699	269	National Library of Lithuania ID	0.023798991418207554
P1442	267	image of grave	0.023622047244094488
P349	266	NDL Authority ID	0.023533575157037953
P2381	251	Academic Tree ID	0.02220649385118995
