props	n	id	perc
P31	3010	instance of	1
P106	2997	occupation	0.9956810631229236
P21	2801	sex or gender	0.9305647840531561
P735	2746	given name	0.9122923588039867
P569	2715	date of birth	0.9019933554817275
P428	2577	botanist author abbreviation	0.8561461794019933
P586	2577	IPNI author ID	0.8561461794019933
P6264	2572	Harvard Index of Botanists ID	0.8544850498338871
P570	2227	date of death	0.7398671096345515
P214	2127	VIAF ID	0.7066445182724252
P27	2066	country of citizenship	0.6863787375415282
P7859	1978	WorldCat Identities ID (superseded)	0.6571428571428571
P19	1777	place of birth	0.5903654485049834
P213	1768	ISNI	0.587375415282392
P734	1683	family name	0.5591362126245847
P227	1659	GND ID	0.5511627906976744
P6944	1594	Bionomia ID	0.5295681063122923
P1412	1460	languages spoken, written or signed	0.4850498338870432
P20	1452	place of death	0.48239202657807306
P269	1390	IdRef ID	0.46179401993355484
P244	1317	Library of Congress authority ID	0.43754152823920267
P1006	1270	Nationale Thesaurus voor Auteursnamen ID	0.4219269102990033
P4081	1153	BHL creator ID	0.3830564784053156
P1207	1053	NUKAT ID	0.34983388704318935
P646	1029	Freebase ID	0.34186046511627904
P69	935	educated at	0.3106312292358804
P2671	927	Google Knowledge Graph ID	0.3079734219269103
P101	896	field of work	0.29767441860465116
P10168	882	Zürich Herbaria collector ID	0.2930232558139535
P7902	841	Deutsche Biographie (GND) ID	0.2794019933554817
P108	804	employer	0.267109634551495
P18	743	image	0.246843853820598
P8914	742	ZOBODAT person ID	0.24651162790697675
P648	733	Open Library ID	0.2435215946843854
P373	725	Commons category	0.24086378737541528
P268	670	Bibliothèque nationale de France ID	0.22259136212624583
P3368	641	Prabook ID	0.21295681063122923
P8189	601	National Library of Israel J9U ID	0.19966777408637873
P691	582	NL CR AUT ID	0.19335548172757475
P463	578	member of	0.1920265780730897
P1343	562	described by source	0.1867109634551495
P2163	559	FAST ID	0.18571428571428572
P1559	544	name in native language	0.18073089700996678
P1871	508	CERL Thesaurus ID	0.16877076411960132
P551	468	residence	0.15548172757475084
P3065	466	RERO ID (obsolete)	0.1548172757475083
P166	440	award received	0.1461794019933555
P1015	392	NORAF ID	0.13023255813953488
P3430	363	SNAC ARK ID	0.12059800664451827
P271	327	CiNii Books author ID	0.10863787375415282
P3987	318	SHARE Catalogue author ID	0.10564784053156147
P5370	318	Entomologists of the World ID	0.10564784053156147
P11496	310	CiNii Research ID	0.10299003322259136
P103	301	native language	0.1
P937	287	work location	0.09534883720930233
P1315	283	NLA Trove people ID	0.09401993355481728
P7293	263	PLWABN ID	0.08737541528239202
P2600	246	Geni.com profile ID	0.08172757475083056
P11146	242	collection items at	0.08039867109634552
P3762	241	openMLOL author ID	0.08006644518272425
P6821	239	Uppsala University Alvin ID	0.07940199335548173
P409	236	Libraries Australia ID	0.07840531561461794
P10297	231	Google Arts & Culture entity ID	0.07674418604651163
P7763	225	copyright status as a creator	0.07475083056478406
