snak	n	cum	cump
Q2374149	5798	5798	0.2168368300983582
Q2083925	2146	7944	0.2970941321664984
Q3055126	1522	9466	0.35401473503122777
Q350979	1233	10699	0.40012715509181346
Q1622272	1060	11759	0.43976962489247917
Q11900058	712	12471	0.46639739706047345
Q18805	634	13105	0.49010808182804144
Q37226	615	13720	0.5131081940237107
Q2487799	559	14279	0.5340139870600995
Q1225716	535	14814	0.5540222147425109
Q39631	519	15333	0.5734320655222709
Q36180	477	15810	0.5912711769325704
Q864503	467	16277	0.6087363027787127
Q674426	357	16634	0.6220875874191256
Q1650915	326	16960	0.6342795168106511
Q109120509	308	17268	0.6457982721866936
Q520549	293	17561	0.6567560492165002
Q1662561	289	17850	0.667564232020644
Q82955	249	18099	0.6768764725681589
Q105186	239	18338	0.6858147275515165
Q98544732	238	18576	0.6947155839784585
Q15924544	218	18794	0.7028684692770859
Q19507792	216	19010	0.7109465574628819
Q16334507	214	19224	0.7189498485358465
Q33231	196	19420	0.7262799655933281
Q4205432	190	19610	0.7333856913123153
Q16271261	173	19783	0.7398556415722353
Q121594	161	19944	0.7458768091551666
Q497294	157	20101	0.751748382512435
Q15839134	156	20257	0.7575825573132877
Q4773904	156	20413	0.7634167321141404
Q16271064	154	20567	0.7691761098021617
Q16334509	140	20707	0.7744119077003627
Q3243461	121	20828	0.7789371330266651
Q901402	117	20945	0.7833127641273047
Q3148760	116	21061	0.7876509966715285
Q1028181	111	21172	0.7918022364336736
Q3640160	95	21267	0.7953550992931673
Q1907198	94	21361	0.7988705635962452
Q3140857	93	21454	0.8023486293429074
Q758780	90	21544	0.8057144994203224
Q593644	89	21633	0.8090429709413217
Q3621491	87	21720	0.8122966453494895
Q12358881	86	21806	0.8155129212012416
Q42603	86	21892	0.8187291970529937
Q17344952	84	21976	0.8218706757919144
Q1781198	84	22060	0.8250121545308351
Q1895303	77	22137	0.8278918433748458
Q16868721	74	22211	0.8306593365496092
Q219477	74	22285	0.8334268297243727
Q16831394	69	22354	0.8360073301170575
Q189290	69	22423	0.8385878305097423
Q81096	68	22491	0.8411309323460114
Q182436	66	22557	0.8435992370694492
Q1930187	66	22623	0.8460675417928868
Q201788	66	22689	0.8485358465163245
Q1607826	61	22750	0.8508171584576836
Q193391	61	22811	0.8530984703990426
Q774306	59	22870	0.8553049852275703
Q40348	57	22927	0.8574367029432663
Q43845	57	22984	0.8595684206589626
Q333634	55	23039	0.8616253412618273
Q3746192	55	23094	0.863682261864692
Q131512	54	23148	0.865701783911141
Q644687	54	23202	0.86772130595759
Q15980158	51	23253	0.8696286323347919
Q49757	50	23303	0.871498560155578
Q43095928	49	23352	0.8733310894199484
Q3126128	48	23400	0.8751262201279031
Q5758653	48	23448	0.8769213508358578
Q47064	46	23494	0.878641684430981
Q483501	45	23539	0.8803246194696884
Q13416354	43	23582	0.8819327573955645
Q212238	42	23624	0.8835034967650248
Q3578589	41	23665	0.8850368375780695
Q12773412	40	23705	0.8865327798346984
Q22813352	40	23745	0.8880287220913273
Q901	40	23785	0.8895246643479562
Q1371378	39	23824	0.8909832080481693
Q30059961	39	23863	0.8924417517483825
Q11741162	37	23900	0.8938254983357642
Q14467526	37	23937	0.895209244923146
Q4964182	37	23974	0.8965929915105277
Q3400985	36	24010	0.8979393395414937
Q169470	35	24045	0.899248289016044
Q1231865	33	24078	0.9004824413777628
Q10872101	32	24110	0.9016791951830659
Q1234713	32	24142	0.9028759489883691
Q17765219	32	24174	0.9040727027936721
Q3779582	32	24206	0.9052694565989753
Q9149093	32	24238	0.9064662104042784
Q2055046	31	24269	0.9076255656531658
Q4991371	31	24300	0.9087849209020532
Q1056391	30	24330	0.9099068775945248
Q16060693	30	24360	0.9110288342869965
Q15296811	28	24388	0.9120759938666367
Q1734662	28	24416	0.9131231534462769
Q482980	28	24444	0.9141703130259172
Q185351	27	24471	0.9151800740491417
Q250867	27	24498	0.9161898350723662
Q170790	25	24523	0.9171247989827592
Q2310145	24	24547	0.9180223643367366
Q33112416	23	24570	0.9188825311342982
Q3745071	23	24593	0.9197426979318598
Q215536	22	24615	0.9205654661730057
Q12347522	21	24636	0.9213508358577359
Q42973	21	24657	0.9221362055424661
Q10498147	20	24677	0.9228841766707805
Q3546255	19	24696	0.9235947492426793
Q16063497	18	24714	0.9242679232581622
Q1937330	18	24732	0.9249410972736453
Q32518759	18	24750	0.9256142712891282
Q10669499	17	24767	0.9262500467481956
Q12362622	17	24784	0.9268858222072628
Q16533	17	24801	0.9275215976663301
Q18814623	17	24818	0.9281573731253974
Q27532437	17	24835	0.9287931485844646
Q446966	17	24852	0.929428924043532
Q10333969	16	24868	0.9300273009461835
Q11063	16	24884	0.930625677848835
Q15816836	16	24900	0.9312240547514866
Q47090899	16	24916	0.9318224316541381
Q202883	15	24931	0.932383410000374
Q27924982	15	24946	0.9329443883466099
Q4002666	15	24961	0.9335053666928457
Q1162163	14	24975	0.9340289464826658
Q13418253	14	24989	0.9345525262724859
Q2114844	14	25003	0.935076106062306
