snak	n	cum	cump
Q2374149	2576	2576	0.3881856540084388
Q2083925	478	3054	0.4602169981916817
Q1622272	346	3400	0.5123568414707655
Q11900058	299	3699	0.5574141048824593
Q2487799	195	3894	0.5867992766726944
Q18805	154	4048	0.6100060277275468
Q3055126	134	4182	0.6301989150090416
Q39631	129	4311	0.6496383363471971
Q350979	119	4430	0.6675708257986739
Q864503	98	4528	0.6823387582881254
Q15924544	95	4623	0.6966546112115732
Q674426	90	4713	0.7102169981916817
Q36180	88	4801	0.7234779987944545
Q16334509	83	4884	0.7359855334538878
Q1225716	73	4957	0.7469861362266426
Q16334507	72	5029	0.7578360458107294
Q105186	63	5092	0.7673297166968053
Q109120509	59	5151	0.7762206148282098
Q901402	53	5204	0.784207353827607
Q520549	48	5252	0.7914406268836649
Q37226	46	5298	0.798372513562387
Q82955	46	5344	0.805304400241109
Q1650915	44	5388	0.8119349005424955
Q4773904	43	5431	0.818414707655214
Q1662561	37	5468	0.8239903556359253
Q33231	29	5497	0.8283604581072935
Q593644	29	5526	0.8327305605786618
Q758780	28	5554	0.8369499698613623
Q15839134	27	5581	0.8410186859553949
Q121594	26	5607	0.8449367088607594
Q774306	26	5633	0.8488547317661241
Q219477	24	5657	0.8524713682941532
Q3148760	23	5680	0.8559373116335142
Q19507792	22	5702	0.8592525617842074
Q22813352	22	5724	0.8625678119349005
Q3621491	21	5745	0.8657323688969258
Q1907198	20	5765	0.8687462326702833
Q193391	17	5782	0.8713080168776371
Q497294	17	5799	0.8738698010849909
Q98544732	17	5816	0.8764315852923448
Q1028181	16	5832	0.8788426763110307
Q1371378	16	5848	0.8812537673297167
Q16271261	16	5864	0.8836648583484027
Q1231865	15	5879	0.8859252561784208
Q12358881	15	5894	0.8881856540084389
Q3140857	15	5909	0.8904460518384569
Q47064	14	5923	0.8925557564798071
Q5758653	14	5937	0.8946654611211573
Q81096	14	5951	0.8967751657625075
Q1781198	13	5964	0.8987341772151899
Q33112416	13	5977	0.9006931886678722
Q644687	13	5990	0.9026522001205546
Q1234713	12	6002	0.904460518384569
Q169470	12	6014	0.9062688366485835
Q4205432	12	6026	0.908077154912598
Q901	12	6038	0.9098854731766124
Q189290	11	6049	0.911543098251959
Q1930187	11	6060	0.9132007233273056
Q1937330	11	6071	0.9148583484026522
Q13416354	10	6081	0.916365280289331
Q14467526	10	6091	0.9178722121760097
Q15980158	10	6101	0.9193791440626884
Q250867	10	6111	0.9208860759493671
