snak	n	cum	cump
Q2374149	4567	4567	0.3134738142631615
Q2083925	717	5284	0.36268789896355275
Q1622272	576	5860	0.402223900061775
Q2487799	563	6423	0.44086759557965544
Q1650915	511	6934	0.47594206877616857
Q3055126	498	7432	0.51012423639234
Q15924544	447	7879	0.5408058205779395
Q37226	412	8291	0.5690850435856957
Q11900058	375	8666	0.5948246276340174
Q350979	368	9034	0.6200837394467705
Q39631	306	9340	0.6410872400302011
Q864503	252	9592	0.6583842405106733
Q105186	227	9819	0.6739652687212575
Q18805	216	10035	0.6887912691330909
Q36180	199	10234	0.7024504084014003
Q16334507	189	10423	0.7154231587617544
Q674426	167	10590	0.726885853524607
Q82955	142	10732	0.7366325760175716
Q1225716	137	10869	0.7460361040565584
Q121594	129	10998	0.7548905209691812
Q520549	129	11127	0.7637449378818039
Q16334509	116	11243	0.7717070492140847
Q1662561	101	11344	0.7786395771844327
Q15839134	98	11442	0.7853661884823941
Q4205432	85	11527	0.7912004942000137
Q33231	76	11603	0.7964170499004736
Q1781198	72	11675	0.8013590500377514
Q901402	67	11742	0.8059578557210515
Q4773904	65	11807	0.8104193836227607
Q16271261	62	11869	0.8146749948520832
Q593644	61	11930	0.8188619671906102
Q19507792	55	11985	0.822637106184364
Q42603	55	12040	0.826412245178118
Q16271064	54	12094	0.8301187452810762
Q17344952	53	12147	0.833756606493239
Q758780	53	12200	0.8373944677054019
Q81096	47	12247	0.8406204955727915
Q109120509	46	12293	0.8437778845493857
Q1895303	46	12339	0.8469352735259799
Q1907198	42	12381	0.8498181069393919
Q3140857	38	12419	0.8524263847896218
Q3148760	38	12457	0.8550346626398517
Q3621491	38	12495	0.8576429404900817
Q774306	37	12532	0.8601825794495161
Q16868721	36	12568	0.862653579518155
Q3640160	36	12604	0.8651245795867939
Q1028181	35	12639	0.8675269407646372
Q12358881	34	12673	0.8698606630516851
Q219477	34	12707	0.872194385338733
Q131512	31	12738	0.8743221909533941
Q1930187	31	12769	0.8764499965680554
Q644687	31	12800	0.8785778021827167
Q901	29	12829	0.8805683300157869
Q201788	27	12856	0.8824215800672661
Q3243461	27	12883	0.8842748301187453
Q5758653	27	12910	0.8861280801702245
Q47064	26	12936	0.8879126913309081
Q40348	25	12961	0.8896286636007962
Q14467526	24	12985	0.8912759969798888
Q1607826	24	13009	0.8929233303589814
Q182436	24	13033	0.894570663738074
Q497294	24	13057	0.8962179971171665
Q189290	23	13080	0.8977966916054636
Q193391	22	13102	0.8993067472029652
Q333634	22	13124	0.9008168028004667
Q4964182	22	13146	0.9023268583979683
Q49757	22	13168	0.9038369139954698
Q1056391	21	13189	0.9052783307021759
Q169470	20	13209	0.9066511085180864
Q212238	20	13229	0.9080238863339969
Q22813352	20	13249	0.9093966641499074
Q13416354	19	13268	0.9107008030750223
Q3126128	19	13287	0.9120049420001373
Q1231865	18	13305	0.9132404420344568
Q33112416	18	13323	0.9144759420687761
Q98544732	18	13341	0.9157114421030956
Q185351	17	13358	0.9168783032466196
Q1234713	16	13374	0.9179765254993479
Q3746192	16	13390	0.9190747477520763
Q43845	16	13406	0.9201729700048047
Q2310145	15	13421	0.9212025533667376
Q30059961	15	13436	0.9222321367286704
Q446966	15	13451	0.9232617200906034
Q13418253	14	13465	0.9242226645617407
Q15296811	14	13479	0.925183609032878
Q2055046	14	13493	0.9261445535040154
Q250867	14	13507	0.9271054979751527
Q32518759	14	13521	0.9280664424462901
Q3779582	14	13535	0.9290273869174274
Q482980	14	13549	0.9299883313885647
Q483501	14	13563	0.9309492758597021
Q15980158	13	13576	0.9318415814400439
Q16063497	13	13589	0.9327338870203857
Q170790	13	13602	0.9336261926007275
Q1734662	13	13615	0.9345184981810694
Q1937330	13	13628	0.9354108037614112
Q3578589	13	13641	0.9363031093417531
Q9149093	13	13654	0.9371954149220949
Q215536	12	13666	0.9380190816116412
Q3400985	12	13678	0.9388427483011874
Q42973	12	13690	0.9396664149907338
Q10333969	11	13701	0.9404214427894845
Q10872101	11	13712	0.9411764705882353
Q10498147	10	13722	0.9418628594961905
Q1371378	10	13732	0.9425492484041458
Q2114605	10	13742	0.943235637312101
Q3745071	10	13752	0.9439220262200563
Q780596	10	13762	0.9446084151280115
Q27349	9	13771	0.9452261651451712
Q462390	9	13780	0.945843915162331
Q13382749	8	13788	0.9463930262886951
Q16533	8	13796	0.9469421374150594
Q188094	8	13804	0.9474912485414235
Q10272925	7	13811	0.9479717207769922
Q12347522	7	13818	0.9484521930125609
Q12773412	7	13825	0.9489326652481296
Q17765219	7	13832	0.9494131374836983
Q3546255	7	13839	0.949893609719267
Q11741162	6	13845	0.9503054430640401
Q14972848	6	13851	0.9507172764088132
Q18814623	6	13857	0.9511291097535863
Q2462658	6	13863	0.9515409430983596
Q27924982	6	13869	0.9519527764431327
Q4002666	6	13875	0.9523646097879058
Q43095928	6	13881	0.952776443132679
Q876864	6	13887	0.9531882764774521
Q11063	5	13892	0.9535314709314298
Q12362622	5	13897	0.9538746653854073
Q131524	5	13902	0.954217859839385
Q1595570	5	13907	0.9545610542933626
Q16831394	5	13912	0.9549042487473403
Q202883	5	13917	0.9552474432013178
Q20650437	5	13922	0.9555906376552955
Q247797	5	13927	0.9559338321092731
Q2516866	5	13932	0.9562770265632508
Q294126	5	13937	0.9566202210172283
Q38126150	5	13942	0.956963415471206
Q974144	5	13947	0.9573066099251836
Q1162163	4	13951	0.9575811654883657
Q118727241	4	13955	0.9578557210515478
Q13582652	4	13959	0.9581302766147299
Q152002	4	13963	0.9584048321779121
Q15924224	4	13967	0.9586793877410941
Q16831721	4	13971	0.9589539433042762
Q179985	4	13975	0.9592284988674583
Q19961388	4	13979	0.9595030544306404
Q21281706	4	13983	0.9597776099938224
Q212980	4	13987	0.9600521655570046
Q2306091	4	13991	0.9603267211201867
Q2526255	4	13995	0.9606012766833688
Q27532437	4	13999	0.9608758322465509
Q27645949	4	14003	0.9611503878097329
Q28004591	4	14007	0.9614249433729151
Q2919046	4	14011	0.9616994989360972
Q3391743	4	14015	0.9619740544992793
Q33999	4	14019	0.9622486100624614
Q45199	4	14023	0.9625231656256434
Q47090899	4	14027	0.9627977211888256
Q599151	4	14031	0.9630722767520077
Q6625963	4	14035	0.9633468323151898
Q685433	4	14039	0.9636213878783719
Q860918	4	14043	0.9638959434415539
Q864380	4	14047	0.9641704990047361
Q10509151	3	14050	0.9643764156771226
Q10669499	3	14053	0.9645823323495092
Q1113838	3	14056	0.9647882490218959
Q1326886	3	14059	0.9649941656942824
Q14089670	3	14062	0.965200082366669
Q15472169	3	14065	0.9654059990390556
Q15623737	3	14068	0.9656119157114421
Q15627169	3	14071	0.9658178323838287
Q15816836	3	14074	0.9660237490562152
Q15839136	3	14077	0.9662296657286018
Q15936497	3	14080	0.9664355824009884
Q16021386	3	14083	0.9666414990733749
Q16060693	3	14086	0.9668474157457615
Q16063546	3	14089	0.9670533324181482
Q16258947	3	14092	0.9672592490905347
Q16755977	3	14095	0.9674651657629213
Q17001795	3	14098	0.9676710824353079
Q17269204	3	14101	0.9678769991076944
Q17488316	3	14104	0.968082915780081
Q17505902	3	14107	0.9682888324524676
Q1792450	3	14110	0.9684947491248541
Q18245236	3	14113	0.9687006657972407
Q18524075	3	14116	0.9689065824696272
Q18844224	3	14119	0.9691124991420139
Q1906857	3	14122	0.9693184158144005
Q1925963	3	14125	0.969524332486787
Q2024200	3	14128	0.9697302491591736
Q21244999	3	14131	0.9699361658315602
Q21550888	3	14134	0.9701420825039467
Q2251335	3	14137	0.9703479991763333
Q26271631	3	14140	0.9705539158487199
Q2640827	3	14143	0.9707598325211064
Q2732142	3	14146	0.970965749193493
Q27497422	3	14149	0.9711716658658796
Q3029418	3	14152	0.9713775825382662
Q329439	3	14155	0.9715834992106528
Q3368718	3	14158	0.9717894158830394
Q3579035	3	14161	0.9719953325554259
Q372436	3	14164	0.9722012492278125
