recordedBy_IRI	coll_items	qid	ref_url	cspp	ih	jacq_id
Q21505257	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100681"	S5858	"ADMONT"
Q21606852	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT104241"	S5858	"ADMONT"
Q2738798	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT104243"	S5858	"ADMONT"
Q3619975	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100033"	S5858	"ADMONT"
Q3750305	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100001"	S5858	"ADMONT"
Q3856667	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100002"	S5858	"ADMONT"
Q3904186	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT104242"	S5858	"ADMONT"
Q4256884	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100017"	S5858	"ADMONT"
Q5864794	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100038"	S5858	"ADMONT"
Q60623531	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100691"	S5858	"ADMONT"
Q60843349	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100003"	S5858	"ADMONT"
Q78951	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100955"	S5858	"ADMONT"
Q872700	P11146	Q667615	S854	"https://admont.jacq.org/ADMONT100680"	S5858	"ADMONT"
Q3776531	P11146	Q1251366	S854	"https://boz.jacq.org/BOZ001440"	S5858	"BOZ"
Q3904186	P11146	Q1251366	S854	"https://boz.jacq.org/BOZ000001"	S5858	"BOZ"
Q68637	P11146	Q1251366	S854	"https://boz.jacq.org/BOZ002095"	S5858	"BOZ"
Q61165964	P11146	Q174823	S854	"https://ubt.jacq.org/UBT0010195"	S5858	"UBT"
Q15300543	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007029"	S5858	"KIEL"
Q157501	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007050"	S5858	"KIEL"
Q21395412	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007021"	S5858	"KIEL"
Q3159964	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007017"	S5858	"KIEL"
Q61501	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007002"	S5858	"KIEL"
Q78907	P11146	Q894647	S854	"https://kiel.jacq.org/KIEL0007007"	S5858	"KIEL"
Q19897169	P11146	Q129207	S854	"https://bak.jacq.org/BAK0003375"	S5858	"BAK"
Q21523259	P11146	Q129207	S854	"https://bak.jacq.org/BAK0-0000001"	S5858	"BAK"
Q2368398	P11146	Q129207	S854	"https://bak.jacq.org/BAK0-0000136"	S5858	"BAK"
Q36675130	P11146	Q129207	S854	"https://bak.jacq.org/BAK0005950"	S5858	"BAK"
Q4140972	P11146	Q129207	S854	"https://bak.jacq.org/BAK0-0000220"	S5858	"BAK"
Q4216461	P11146	Q129207	S854	"https://bak.jacq.org/BAK0-0000037"	S5858	"BAK"
Q4227549	P11146	Q129207	S854	"https://bak.jacq.org/BAK0007840"	S5858	"BAK"
Q728729	P11146	Q129207	S854	"https://bak.jacq.org/BAK0-0000221"	S5858	"BAK"
Q88853514	P11146	Q129207	S854	"https://bak.jacq.org/BAK0000016"	S5858	"BAK"
Q964497	P11146	Q129207	S854	"https://bak.jacq.org/BAK0009626"	S5858	"BAK"
Q1002345	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100279470"		
Q100876	P11146	Q163255	S854	"http://herbarium.bgbm.org/object/B200019642"		
Q101052	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100002771"		
Q101515973	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100160764"		
Q102493	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B310136011"		
Q1025362	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100002543"		
Q102596	P11146	Q163255	S854	"http://herbarium.bgbm.org/object/B200120788"		
Q1028890	P11146	Q163255	S854	"http://herbarium.bgbm.org/object/B100749369"		
Q10288967	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100295041"		
Q10301856	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100356924"		
Q10305348	P11146	Q163255	S854	"http://herbarium.bgbm.org/object/B100629251"		
Q10307747	P11146	Q163255	S854	"http://herbarium.bgbm.org/object/B100510430"		
Q10307778	P11146	Q163255	S854	"https://herbarium.bgbm.org/object/B100166479"		
