recordedBy_IRI	coll_items	qid	ref_url	cspp	ih	jacq_id
Q1333160	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL01226"	S5858	"LAGU"
Q1435048	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL01230"	S5858	"LAGU"
Q16301452	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL05397"	S5858	"LAGU"
Q18986737	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL01321"	S5858	"LAGU"
Q2115205	P11146	Q15820827	S854	"http://lagu.jacq.org/object/GD-37262"	S5858	"LAGU"
Q21513789	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JF-00321"	S5858	"LAGU"
Q33693722	P11146	Q15820827	S854	"http://lagu.jacq.org/object/BS-00126"	S5858	"LAGU"
Q54499411	P11146	Q15820827	S854	"http://lagu.jacq.org/object/WB-00017"	S5858	"LAGU"
Q5573922	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL01243"	S5858	"LAGU"
Q5777372	P11146	Q15820827	S854	"http://lagu.jacq.org/object/CEH01231"	S5858	"LAGU"
Q5933352	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL02238"	S5858	"LAGU"
Q6012855	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL03251"	S5858	"LAGU"
Q6110056	P11146	Q15820827	S854	"http://lagu.jacq.org/object/ISF00240"	S5858	"LAGU"
Q6166437	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL03271"	S5858	"LAGU"
Q7151048	P11146	Q15820827	S854	"http://lagu.jacq.org/object/JBL01232"	S5858	"LAGU"
Q19897169	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033977"	S5858	"TBI"
Q2040679	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033627"	S5858	"TBI"
Q21340446	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1031479"	S5858	"TBI"
Q21341416	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1056122"	S5858	"TBI"
Q21523259	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1031292"	S5858	"TBI"
Q21606834	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033394"	S5858	"TBI"
Q21610165	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1032194"	S5858	"TBI"
Q2368398	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1014287"	S5858	"TBI"
Q2858458	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033155"	S5858	"TBI"
Q29014912	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1035585"	S5858	"TBI"
Q2909327	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1038429"	S5858	"TBI"
Q355867	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1031496"	S5858	"TBI"
Q36675130	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1032988"	S5858	"TBI"
Q4172636	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033900"	S5858	"TBI"
Q4216461	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1033852"	S5858	"TBI"
Q4227549	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1031962"	S5858	"TBI"
Q4263637	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1055569"	S5858	"TBI"
Q5925700	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1037824"	S5858	"TBI"
Q724538	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1032938"	S5858	"TBI"
Q88853514	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1034119"	S5858	"TBI"
Q893705	P11146	Q2324420	S854	"http://tbi.jacq.org/object/TBI1034186"	S5858	"TBI"
