recordedBy_IRI	coll_items	qid	ref_url	cspp	ih	jacq_id
Q21514473	P11146	Q688704	S854	"https://w.jacq.org/W0102846"	S5858	"W"
Q21515485	P11146	Q688704	S854	"https://w.jacq.org/W19270017653"	S5858	"W"
Q21516806	P11146	Q688704	S854	"https://w.jacq.org/W19310005645"	S5858	"W"
Q21517359	P11146	Q688704	S854	"https://w.jacq.org/W20030001766"	S5858	"W"
Q21517566	P11146	Q688704	S854	"https://w.jacq.org/W0083587"	S5858	"W"
Q21520176	P11146	Q688704	S854	"https://w.jacq.org/W0084039"	S5858	"W"
Q21521767	P11146	Q688704	S854	"https://w.jacq.org/W19630011507"	S5858	"W"
Q21522875	P11146	Q688704	S854	"https://w.jacq.org/W19650007579"	S5858	"W"
Q21523005	P11146	Q688704	S854	"https://w.jacq.org/W19990006180"	S5858	"W"
Q21607268	P11146	Q688704	S854	"https://w.jacq.org/W19160031994"	S5858	"W"
Q21607375	P11146	Q688704	S854	"https://w.jacq.org/W19610018724"	S5858	"W"
Q21607748	P11146	Q688704	S854	"https://w.jacq.org/W0001033"	S5858	"W"
Q21607880	P11146	Q688704	S854	"https://w.jacq.org/W19570011658"	S5858	"W"
Q21608076	P11146	Q688704	S854	"https://w.jacq.org/W19190016867"	S5858	"W"
Q21609205	P11146	Q688704	S854	"https://w.jacq.org/W19830005419"	S5858	"W"
Q21609950	P11146	Q688704	S854	"https://w.jacq.org/W18930002340"	S5858	"W"
Q21609967	P11146	Q688704	S854	"https://w.jacq.org/W18950000432"	S5858	"W"
Q21609975	P11146	Q688704	S854	"https://w.jacq.org/W18930002066"	S5858	"W"
Q21610022	P11146	Q688704	S854	"https://w.jacq.org/W0019291"	S5858	"W"
Q21610161	P11146	Q688704	S854	"https://w.jacq.org/W20100014121"	S5858	"W"
Q21610905	P11146	Q688704	S854	"https://w.jacq.org/W18890155848"	S5858	"W"
Q21613744	P11146	Q688704	S854	"https://w.jacq.org/W20100001251"	S5858	"W"
Q33666347	P11146	Q688704	S854	"https://w.jacq.org/W19140008584"	S5858	"W"
Q33692381	P11146	Q688704	S854	"https://w.jacq.org/W20120002573d"	S5858	"W"
Q5658198	P11146	Q688704	S854	"https://w.jacq.org/W18890251412"	S5858	"W"
Q5853742	P11146	Q688704	S854	"https://w.jacq.org/W20130004816"	S5858	"W"
Q6074276	P11146	Q688704	S854	"https://w.jacq.org/W19270021003"	S5858	"W"
Q61165964	P11146	Q688704	S854	"https://w.jacq.org/W20150009081"	S5858	"W"
Q21611461	P11146	Q161982	S854	"https://mjg.jacq.org/MJG018459"	S5858	"MJG"
Q21341220	P11146	Q31519	S854	"https://prc.jacq.org/PRC2535"	S5858	"PRC"
Q21505726	P11146	Q31519	S854	"https://prc.jacq.org/PRC405270"	S5858	"PRC"
Q21505855	P11146	Q31519	S854	"https://prc.jacq.org/PRC402549"	S5858	"PRC"
Q21515485	P11146	Q31519	S854	"https://prc.jacq.org/PRC452116"	S5858	"PRC"
Q21522875	P11146	Q31519	S854	"https://prc.jacq.org/PRC455443"	S5858	"PRC"
Q21609205	P11146	Q31519	S854	"https://prc.jacq.org/PRC402843"	S5858	"PRC"
Q21609950	P11146	Q31519	S854	"https://prc.jacq.org/PRC451051"	S5858	"PRC"
Q21610905	P11146	Q31519	S854	"https://prc.jacq.org/PRC405176"	S5858	"PRC"
Q5658198	P11146	Q31519	S854	"https://prc.jacq.org/PRC403350"	S5858	"PRC"
Q21341220	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU232358"	S5858	"BRNU"
Q21505726	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU358229"	S5858	"BRNU"
Q21505855	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU259555"	S5858	"BRNU"
Q21522875	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU002233"	S5858	"BRNU"
Q21607375	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU414292"	S5858	"BRNU"
Q21607880	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU150756"	S5858	"BRNU"
Q21608076	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU067075"	S5858	"BRNU"
Q21609950	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU027282"	S5858	"BRNU"
Q21613744	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU121413"	S5858	"BRNU"
Q5658198	P11146	Q763586	S854	"https://brnu.jacq.org/BRNU119863"	S5858	"BRNU"
Q21505726	P11146	Q1354858	S854	"https://gat.jacq.org/GAT0067694"	S5858	"GAT"
Q21522283	P11146	Q1354858	S854	"https://gat.jacq.org/GAT0013255"	S5858	"GAT"
Q21522875	P11146	Q1354858	S854	"https://gat.jacq.org/GAT0005026"	S5858	"GAT"
Q21609950	P11146	Q1354858	S854	"https://gat.jacq.org/GAT0046953"	S5858	"GAT"
Q43583674	P11146	Q1807521	S854	"https://data.rbge.org.uk/herb/E00211230"		
Q5658198	P11146	Q153978	S854	"https://tub.jacq.org/TUB011472"	S5858	"TUB"
Q21505726	P11146	Q645663	S854	"https://pi.jacq.org/PI028180"	S5858	"PI"
Q21505855	P11146	Q645663	S854	"https://pi.jacq.org/PI025386"	S5858	"PI"
Q21506473	P11146	Q645663	S854	"https://pi.jacq.org/PI010968"	S5858	"PI"
Q21516806	P11146	Q645663	S854	"https://pi.jacq.org/PI051379"	S5858	"PI"
Q21607375	P11146	Q645663	S854	"https://pi.jacq.org/PI019881"	S5858	"PI"
Q21609950	P11146	Q645663	S854	"https://pi.jacq.org/PI022157"	S5858	"PI"
Q21610905	P11146	Q645663	S854	"https://pi.jacq.org/PI019362"	S5858	"PI"
Q21341220	P11146	Q165980	S854	"https://wu.jacq.org/WU0102746"	S5858	"WU"
Q21505726	P11146	Q165980	S854	"https://wu.jacq.org/WU0034246"	S5858	"WU"
Q21505855	P11146	Q165980	S854	"https://wu.jacq.org/WU0068219"	S5858	"WU"
Q21521767	P11146	Q165980	S854	"https://wu.jacq.org/WU0106135"	S5858	"WU"
Q21521825	P11146	Q165980	S854	"https://wu.jacq.org/WU0102879"	S5858	"WU"
Q21522875	P11146	Q165980	S854	"https://wu.jacq.org/WU0043648"	S5858	"WU"
Q21607375	P11146	Q165980	S854	"https://wu.jacq.org/WU0043351"	S5858	"WU"
Q21607748	P11146	Q165980	S854	"https://wu.jacq.org/WU0071916"	S5858	"WU"
Q21608076	P11146	Q165980	S854	"https://wu.jacq.org/WU0042675"	S5858	"WU"
Q21608640	P11146	Q165980	S854	"https://wu.jacq.org/WU0001375"	S5858	"WU"
Q21609205	P11146	Q165980	S854	"https://wu.jacq.org/WU0071329"	S5858	"WU"
Q21609448	P11146	Q165980	S854	"https://wu.jacq.org/WU0095197"	S5858	"WU"
Q21609950	P11146	Q165980	S854	"https://wu.jacq.org/WU0066684"	S5858	"WU"
Q21609967	P11146	Q165980	S854	"https://wu.jacq.org/WU0010971"	S5858	"WU"
Q21609975	P11146	Q165980	S854	"https://wu.jacq.org/WU0069145"	S5858	"WU"
Q21610022	P11146	Q165980	S854	"https://wu.jacq.org/WU0040373"	S5858	"WU"
Q21610161	P11146	Q165980	S854	"https://wu.jacq.org/WU0092859"	S5858	"WU"
Q21610905	P11146	Q165980	S854	"https://wu.jacq.org/WU0077954"	S5858	"WU"
Q21611056	P11146	Q165980	S854	"https://wu.jacq.org/WU-MYC0040713"	S5858	"WU"
Q33692381	P11146	Q165980	S854	"https://wu.jacq.org/WU0035117"	S5858	"WU"
Q54802243	P11146	Q165980	S854	"https://wu.jacq.org/WU-MYC0037480"	S5858	"WU"
Q5658198	P11146	Q165980	S854	"https://wu.jacq.org/WU0059853"	S5858	"WU"
Q5853742	P11146	Q165980	S854	"https://wu.jacq.org/WU0025243"	S5858	"WU"
Q21341220	P11146	Q154804	S854	"https://lz.jacq.org/LZ007294"	S5858	"LZ"
Q21392127	P11146	Q154804	S854	"https://lz.jacq.org/LZ171596"	S5858	"LZ"
Q5853742	P11146	Q154804	S854	"https://lz.jacq.org/LZ172755"	S5858	"LZ"
Q19003256	P11146	Q32120	S854	"https://hal.jacq.org/HAL0110086"	S5858	"HAL"
Q21393853	P11146	Q32120	S854	"https://hal.jacq.org/HAL0112235"	S5858	"HAL"
Q21505855	P11146	Q32120	S854	"https://hal.jacq.org/HAL0114051"	S5858	"HAL"
Q21522454	P11146	Q32120	S854	"https://hal.jacq.org/HAL001575F"	S5858	"HAL"
Q21608076	P11146	Q32120	S854	"https://hal.jacq.org/HAL0119229"	S5858	"HAL"
Q36638791	P11146	Q32120	S854	"https://hal.jacq.org/HAL001624F"	S5858	"HAL"
Q43268836	P11146	Q32120	S854	"https://hal.jacq.org/HAL001545F"	S5858	"HAL"
Q47115724	P11146	Q32120	S854	"https://hal.jacq.org/HAL003277F"	S5858	"HAL"
Q5853742	P11146	Q32120	S854	"https://hal.jacq.org/HAL001815F"	S5858	"HAL"
Q21505855	P11146	Q21679572	S854	"https://ere.jacq.org/ERE0000412"	S5858	"ERE"
Q21607880	P11146	Q21679572	S854	"https://ere.jacq.org/ERE0007714"	S5858	"ERE"
Q21393853	P11146	Q154561	S854	"https://je.jacq.org/JE04009543"	S5858	"JE"
